ID,Question,Response/Answer,Law Reference,Source Link
1,What is a high tackle?,A high tackle is when a player tackles an opponent above the line of the shoulders. It is dangerous and can result in a penalty.,Law 9 (Foul Play),https://passport.world.rugby/laws-of-the-game/laws-by-number/9-foul-play/
2,When is a player considered offside?,A player is offside if they are positioned in front of a teammate who last played the ball.,Law 10 (Offside and Onside in Open Play),https://passport.world.rugby/laws-of-the-game/laws-by-number/10-offside-and-onside-in-open-play/
3,What constitutes a knock-on?,A knock-on occurs when the ball is accidentally dropped forward and touches the ground or another player.,Law 11 (Knock-on or Throw Forward),https://passport.world.rugby/laws-of-the-game/laws-by-number/11-knock-on-or-throw-forward/
4,What is a scrum?,A scrum is a set piece where players from each team bind together in three rows and contest possession of the ball.,Law 19 (Scrum),https://passport.world.rugby/laws-of-the-game/laws-by-number/19-scrum/
5,What is a penalty try?,A penalty try is awarded when a team would likely have scored a try but for an infringement by the opposition.,Law 20 (Penalty and Free-Kick),https://passport.world.rugby/laws-of-the-game/laws-by-number/20-penalty-and-free-kick/
6,How is a tackle defined in rugby?,A tackle occurs when a player is held and brought to the ground by an opponent who is on their feet.,Law 14 (Tackle),https://passport.world.rugby/laws-of-the-game/laws-by-number/14-tackle/
7,What is the role of a referee?,"The referee is responsible for ensuring the laws of the game are applied fairly, keeping time, and managing the match.",Law 6 (Match Officials),https://passport.world.rugby/laws-of-the-game/laws-by-number/6-match-officials/
8,When can a player be replaced?,"A player can be replaced when injured, but once replaced, they cannot return to the field of play.",Law 3 (Team),https://passport.world.rugby/laws-of-the-game/laws-by-number/3-team/
9,What happens if a player is offside at a lineout?,"If a player is offside at a lineout, they are penalized and the opposing team is awarded a scrum or free-kick.","Law 18 (Touch, Quick Throw, and Lineout)",https://passport.world.rugby/laws-of-the-game/laws-by-number/18-touch-quick-throw-and-lineout/
10,What is the purpose of the mark in rugby?,A mark is awarded when a player catches the ball from a kick in their 22 or in-goal and calls 'mark.',Law 17 (Mark),https://passport.world.rugby/laws-of-the-game/laws-by-number/17-mark/
11,What is a ruck?,A ruck is formed when the ball is on the ground and players from both teams bind together on their feet to contest possession.,Law 15 (Ruck),https://passport.world.rugby/laws-of-the-game/laws-by-number/15-ruck/
12,What is a maul?,"A maul is a phase of play where a ball-carrier is held by one or more players from each team, while on their feet.",Law 16 (Maul),https://passport.world.rugby/laws-of-the-game/laws-by-number/16-maul/
13,What constitutes an obstruction?,Obstruction occurs when a player prevents an opponent from playing the ball or attempting to tackle the ball-carrier.,Law 9 (Foul Play),https://passport.world.rugby/laws-of-the-game/laws-by-number/9-foul-play/
14,When is the ball considered 'dead'?,"The ball becomes dead when it goes into touch, the ball-carrier is grounded, or a try has been scored.",Law 5 (Time),https://passport.world.rugby/laws-of-the-game/laws-by-number/5-time/
15,How is a penalty awarded?,"A penalty is awarded for serious infringements, such as dangerous play or repeated offenses.",Law 20 (Penalty and Free-Kick),https://passport.world.rugby/laws-of-the-game/laws-by-number/20-penalty-and-free-kick/
16,What is the difference between a free-kick and a penalty?,"A free-kick is awarded for less serious infringements, while a penalty is awarded for more serious offenses.",Law 20 (Penalty and Free-Kick),https://passport.world.rugby/laws-of-the-game/laws-by-number/20-penalty-and-free-kick/
17,What is the purpose of the touchline?,The touchline is the boundary line marking the side of the field. The ball is out of play if it crosses this line.,"Law 18 (Touch, Quick Throw, and Lineout)",https://passport.world.rugby/laws-of-the-game/laws-by-number/18-touch-quick-throw-and-lineout/
18,When is a try awarded?,A try is awarded when a player grounds the ball in the opponent's in-goal area.,Law 8 (Scoring),https://passport.world.rugby/laws-of-the-game/laws-by-number/8-scoring/
19,What is the role of a touch judge?,"A touch judge signals touch, touch-in-goal, and assists the referee in identifying foul play.",Law 6 (Match Officials),https://passport.world.rugby/laws-of-the-game/laws-by-number/6-match-officials/
